email,freq
james.smith@gmail.com,7296
james.smith@yahoo.com,7132
michael.smith@gmail.com,6990
michael.smith@yahoo.com,6833
john.smith@gmail.com,6828
robert.smith@gmail.com,6819
john.smith@yahoo.com,6674
robert.smith@yahoo.com,6666
james.smith@hotmail.com,6387
michael.smith@hotmail.com,6119
john.smith@hotmail.com,5978
robert.smith@hotmail.com,5970
james.johnson@gmail.com,5773
david.smith@gmail.com,5718
james.johnson@yahoo.com,5643
david.smith@yahoo.com,5589
michael.johnson@gmail.com,5531
william.smith@gmail.com,5459
michael.johnson@yahoo.com,5406
john.johnson@gmail.com,5402
robert.johnson@gmail.com,5395
william.smith@yahoo.com,5336
john.johnson@yahoo.com,5281
robert.johnson@yahoo.com,5274
james.johnson@hotmail.com,5054
david.smith@hotmail.com,5006
james.williams@gmail.com,4854
michael.johnson@hotmail.com,4842
william.smith@hotmail.com,4779
james.williams@yahoo.com,4745
john.johnson@hotmail.com,4729
robert.johnson@hotmail.com,4723
mary.smith@gmail.com,4677
michael.williams@gmail.com,4650
mary.smith@yahoo.com,4572
michael.williams@yahoo.com,4546
john.williams@gmail.com,4543
robert.williams@gmail.com,4537
david.johnson@gmail.com,4524
john.williams@yahoo.com,4440
robert.williams@yahoo.com,4434
david.johnson@yahoo.com,4422
william.johnson@gmail.com,4319
james.brown@gmail.com,4292
james.jones@gmail.com,4257
james.williams@hotmail.com,4249
william.johnson@yahoo.com,4221
james.brown@yahoo.com,4195
james.jones@yahoo.com,4161
michael.brown@gmail.com,4112
mary.smith@hotmail.com,4095
michael.jones@gmail.com,4079
michael.williams@hotmail.com,4071
michael.brown@yahoo.com,4019
john.brown@gmail.com,4017
robert.brown@gmail.com,4011
michael.jones@yahoo.com,3987
john.jones@gmail.com,3984
robert.jones@gmail.com,3979
john.williams@hotmail.com,3977
robert.williams@hotmail.com,3972
david.johnson@hotmail.com,3960
john.brown@yahoo.com,3926
robert.brown@yahoo.com,3921
john.jones@yahoo.com,3894
robert.jones@yahoo.com,3889
richard.smith@gmail.com,3832
david.williams@gmail.com,3804
william.johnson@hotmail.com,3781
james.brown@hotmail.com,3757
richard.smith@yahoo.com,3745
james.jones@hotmail.com,3727
david.williams@yahoo.com,3718
mary.johnson@gmail.com,3700
joseph.smith@gmail.com,3634
william.williams@gmail.com,3632
mary.johnson@yahoo.com,3617
michael.brown@hotmail.com,3600
michael.jones@hotmail.com,3571
